Timestamp,HR,RBHS.Power.Campus_Load_kW:5min
2023-04-01 01:00:00,1,"8,341.41"
2023-04-01 01:05:00,1,"8,386.13"
2023-04-01 01:10:00,1,"8,321.18"
2023-04-01 01:15:00,1,"8,337.18"
2023-04-01 01:20:00,1,"8,348.15"
2023-04-01 01:25:00,1,"8,280.59"
2023-04-01 01:30:00,1,"8,300.34"
2023-04-01 01:35:00,1,"8,314.47"
2023-04-01 01:40:00,1,"8,318.62"
2023-04-01 01:45:00,1,"8,366.27"
2023-04-01 01:50:00,1,"8,361.21"
2023-04-01 01:55:00,1,"8,338.73"
2023-04-01 02:00:00,2,"8,325.47"
2023-04-01 02:05:00,2,"8,307.31"
2023-04-01 02:10:00,2,"8,303.59"
2023-04-01 02:15:00,2,"8,335.85"
2023-04-01 02:20:00,2,"8,367.76"
2023-04-01 02:25:00,2,"8,363.35"
2023-04-01 02:30:00,2,"8,333.24"
2023-04-01 02:35:00,2,"8,310.16"
2023-04-01 02:40:00,2,"8,322.28"
2023-04-01 02:45:00,2,"8,350.74"
2023-04-01 02:50:00,2,"8,327.83"
2023-04-01 02:55:00,2,"8,326.94"
2023-04-01 03:00:00,3,"8,292.68"
2023-04-01 03:05:00,3,"8,311.11"
2023-04-01 03:10:00,3,"8,310.98"
2023-04-01 03:15:00,3,"8,302.89"
2023-04-01 03:20:00,3,"8,325.11"
2023-04-01 03:25:00,3,"8,283.18"
2023-04-01 03:30:00,3,"8,268.11"
2023-04-01 03:35:00,3,"8,289.05"
2023-04-01 03:40:00,3,"8,296.42"
2023-04-01 03:45:00,3,"8,317.52"
2023-04-01 03:50:00,3,"8,289.98"
2023-04-01 03:55:00,3,"8,480.42"
2023-04-01 04:00:00,4,"8,911.96"
2023-04-01 04:05:00,4,"9,241.84"
2023-04-01 04:10:00,4,"9,687.59"
2023-04-01 04:15:00,4,"10,030.86"
2023-04-01 04:20:00,4,"10,215.74"
2023-04-01 04:25:00,4,"10,250.78"
2023-04-01 04:30:00,4,"10,241.97"
2023-04-01 04:35:00,4,"10,298.25"
2023-04-01 04:40:00,4,"10,256.30"
2023-04-01 04:45:00,4,"10,296.16"
2023-04-01 04:50:00,4,"10,330.60"
2023-04-01 04:55:00,4,"10,247.29"
2023-04-01 05:00:00,5,"10,249.50"
2023-04-01 05:05:00,5,"10,143.98"
2023-04-01 05:10:00,5,"10,013.54"
2023-04-01 05:15:00,5,"9,908.78"
2023-04-01 05:20:00,5,"9,830.88"
2023-04-01 05:25:00,5,"9,817.37"
2023-04-01 05:30:00,5,"9,702.00"
2023-04-01 05:35:00,5,"9,615.31"
2023-04-01 05:40:00,5,"9,647.58"
2023-04-01 05:45:00,5,"9,605.42"
2023-04-01 05:50:00,5,"9,572.39"
2023-04-01 05:55:00,5,"9,494.54"
2023-04-01 06:00:00,6,"9,511.07"
2023-04-01 06:05:00,6,"9,562.90"
2023-04-01 06:10:00,6,"9,532.70"
2023-04-01 06:15:00,6,"9,635.34"
2023-04-01 06:20:00,6,"9,708.65"
2023-04-01 06:25:00,6,"9,709.68"
2023-04-01 06:30:00,6,"9,850.01"
2023-04-01 06:35:00,6,"9,800.09"
2023-04-01 06:40:00,6,"9,830.39"
2023-04-01 06:45:00,6,"9,792.05"
2023-04-01 06:50:00,6,"9,783.92"
2023-04-01 06:55:00,6,"9,785.86"
2023-04-01 07:00:00,7,"9,776.04"
2023-04-01 07:05:00,7,"9,727.74"
2023-04-01 07:10:00,7,"9,690.56"
2023-04-01 07:15:00,7,"9,672.39"
2023-04-01 07:20:00,7,"9,709.99"
2023-04-01 07:25:00,7,"9,773.13"
2023-04-01 07:30:00,7,"9,777.53"
2023-04-01 07:35:00,7,"9,757.99"
2023-04-01 07:40:00,7,"9,679.67"
2023-04-01 07:45:00,7,"9,713.68"
2023-04-01 07:50:00,7,"9,743.85"
2023-04-01 07:55:00,7,"9,705.23"
2023-04-01 08:00:00,8,"9,738.18"
2023-04-01 08:05:00,8,"9,721.10"
2023-04-01 08:10:00,8,"9,749.10"
2023-04-01 08:15:00,8,"9,745.57"
2023-04-01 08:20:00,8,"9,732.99"
2023-04-01 08:25:00,8,"9,761.05"
2023-04-01 08:30:00,8,"9,790.45"
2023-04-01 08:35:00,8,"9,791.35"
2023-04-01 08:40:00,8,"9,756.36"
2023-04-01 08:45:00,8,"9,771.82"
2023-04-01 08:50:00,8,"9,875.51"
2023-04-01 08:55:00,8,"9,823.55"
2023-04-01 09:00:00,9,"9,825.38"
2023-04-01 09:05:00,9,"9,862.72"
2023-04-01 09:10:00,9,"9,822.42"
2023-04-01 09:15:00,9,"9,836.13"
2023-04-01 09:20:00,9,"9,840.07"
2023-04-01 09:25:00,9,"9,825.23"
2023-04-01 09:30:00,9,"9,875.67"
2023-04-01 09:35:00,9,"9,858.55"
2023-04-01 09:40:00,9,"9,905.70"
2023-04-01 09:45:00,9,"9,924.09"
2023-04-01 09:50:00,9,"9,960.95"
2023-04-01 09:55:00,9,"9,946.10"
2023-04-01 10:00:00,10,"9,907.67"
2023-04-01 10:05:00,10,"9,925.67"
2023-04-01 10:10:00,10,"9,915.41"
2023-04-01 10:15:00,10,"9,899.83"
2023-04-01 10:20:00,10,"9,969.00"
2023-04-01 10:25:00,10,"9,992.72"
2023-04-01 10:30:00,10,"9,934.45"
2023-04-01 10:35:00,10,"9,981.83"
2023-04-01 10:40:00,10,"10,020.86"
2023-04-01 10:45:00,10,"10,031.62"
2023-04-01 10:50:00,10,"10,001.26"
2023-04-01 10:55:00,10,"10,053.37"
2023-04-01 11:00:00,11,"10,051.85"
2023-04-01 11:05:00,11,"9,967.73"
2023-04-01 11:10:00,11,"9,996.04"
2023-04-01 11:15:00,11,"10,117.60"
2023-04-01 11:20:00,11,"10,042.74"
2023-04-01 11:25:00,11,"10,052.98"
2023-04-01 11:30:00,11,"10,129.00"
2023-04-01 11:35:00,11,"10,063.18"
2023-04-01 11:40:00,11,"9,979.13"
2023-04-01 11:45:00,11,"10,004.12"
2023-04-01 11:50:00,11,"10,128.83"
2023-04-01 11:55:00,11,"10,144.78"
2023-04-01 12:00:00,12,"10,161.47"
2023-04-01 12:05:00,12,"10,185.22"
2023-04-01 12:10:00,12,"10,179.94"
2023-04-01 12:15:00,12,"10,240.40"
2023-04-01 12:20:00,12,"10,246.01"
2023-04-01 12:25:00,12,"10,198.75"
2023-04-01 12:30:00,12,"10,252.17"
2023-04-01 12:35:00,12,"10,241.33"
2023-04-01 12:40:00,12,"10,213.17"
2023-04-01 12:45:00,12,"10,228.82"
2023-04-01 12:50:00,12,"10,243.59"
2023-04-01 12:55:00,12,"10,193.76"
2023-04-01 13:00:00,13,"10,150.57"
2023-04-01 13:05:00,13,"10,150.19"
2023-04-01 13:10:00,13,"10,069.88"
2023-04-01 13:15:00,13,"10,031.37"
2023-04-01 13:20:00,13,"10,029.78"
2023-04-01 13:25:00,13,"9,967.21"
2023-04-01 13:30:00,13,"9,963.36"
2023-04-01 13:35:00,13,"9,952.66"
2023-04-01 13:40:00,13,"9,882.32"
2023-04-01 13:45:00,13,"9,881.19"
2023-04-01 13:50:00,13,"9,886.94"
2023-04-01 13:55:00,13,"9,912.91"
2023-04-01 14:00:00,14,"9,907.65"
2023-04-01 14:05:00,14,"9,907.51"
2023-04-01 14:10:00,14,"9,924.01"
2023-04-01 14:15:00,14,"9,820.35"
2023-04-01 14:20:00,14,"9,850.01"
2023-04-01 14:25:00,14,"9,858.12"
2023-04-01 14:30:00,14,"9,878.35"
2023-04-01 14:35:00,14,"9,861.24"
2023-04-01 14:40:00,14,"9,864.48"
2023-04-01 14:45:00,14,"9,822.43"
2023-04-01 14:50:00,14,"9,764.03"
2023-04-01 14:55:00,14,"9,812.48"
2023-04-01 15:00:00,15,"9,837.27"
2023-04-01 15:05:00,15,"9,806.57"
2023-04-01 15:10:00,15,"9,790.60"
2023-04-01 15:15:00,15,"9,776.99"
2023-04-01 15:20:00,15,"9,778.56"
2023-04-01 15:25:00,15,"9,780.05"
2023-04-01 15:30:00,15,"9,789.87"
2023-04-01 15:35:00,15,"9,786.01"
2023-04-01 15:40:00,15,"9,766.59"
2023-04-01 15:45:00,15,"9,831.48"
2023-04-01 15:50:00,15,"9,907.17"
2023-04-01 15:55:00,15,"9,887.17"
2023-04-01 16:00:00,16,"9,924.23"
2023-04-01 16:05:00,16,"9,942.89"
2023-04-01 16:10:00,16,"9,880.95"
2023-04-01 16:15:00,16,"9,934.10"
2023-04-01 16:20:00,16,"9,984.79"
2023-04-01 16:25:00,16,"9,986.90"
2023-04-01 16:30:00,16,"10,041.87"
2023-04-01 16:35:00,16,"10,044.37"
2023-04-01 16:40:00,16,"9,985.89"
2023-04-01 16:45:00,16,"9,958.76"
2023-04-01 16:50:00,16,"9,958.10"
2023-04-01 16:55:00,16,"9,912.51"
2023-04-01 17:00:00,17,"9,980.34"
2023-04-01 17:05:00,17,"9,960.14"
2023-04-01 17:10:00,17,"9,909.03"
2023-04-01 17:15:00,17,"9,945.42"
2023-04-01 17:20:00,17,"9,913.31"
2023-04-01 17:25:00,17,"9,892.67"
2023-04-01 17:30:00,17,"10,043.04"
2023-04-01 17:35:00,17,"9,943.55"
2023-04-01 17:40:00,17,"9,982.71"
2023-04-01 17:45:00,17,"9,962.67"
2023-04-01 17:50:00,17,"9,928.55"
2023-04-01 17:55:00,17,"9,920.59"
2023-04-01 18:00:00,18,"9,927.41"
2023-04-01 18:05:00,18,"9,872.99"
2023-04-01 18:10:00,18,"9,882.59"
2023-04-01 18:15:00,18,"9,870.04"
2023-04-01 18:20:00,18,"9,902.61"
2023-04-01 18:25:00,18,"9,883.77"
2023-04-01 18:30:00,18,"9,893.85"
2023-04-01 18:35:00,18,"9,856.80"
2023-04-01 18:40:00,18,"9,888.88"
2023-04-01 18:45:00,18,"9,870.80"
2023-04-01 18:50:00,18,"9,799.17"
2023-04-01 18:55:00,18,"9,811.17"
2023-04-01 19:00:00,19,"9,840.94"
2023-04-01 19:05:00,19,"9,797.91"
2023-04-01 19:10:00,19,"9,764.51"
2023-04-01 19:15:00,19,"9,750.12"
2023-04-01 19:20:00,19,"9,587.15"
2023-04-01 19:25:00,19,"9,479.23"
2023-04-01 19:30:00,19,"9,494.07"
2023-04-01 19:35:00,19,"9,451.97"
2023-04-01 19:40:00,19,"9,478.15"
2023-04-01 19:45:00,19,"9,435.27"
2023-04-01 19:50:00,19,"9,457.58"
2023-04-01 19:55:00,19,"9,468.43"
2023-04-01 20:00:00,20,"9,475.84"
2023-04-01 20:05:00,20,"9,479.96"
2023-04-01 20:10:00,20,"9,507.38"
2023-04-01 20:15:00,20,"9,543.34"
2023-04-01 20:20:00,20,"9,483.36"
2023-04-01 20:25:00,20,"9,451.38"
2023-04-01 20:30:00,20,"9,473.99"
2023-04-01 20:35:00,20,"9,441.69"
2023-04-01 20:40:00,20,"9,477.51"
